AN_BASE,NM_PROGRAMA_IES,AN_INICIO_PROGRAMA,SG_ENTIDADE_ENSINO,NM_AREA_AVALIACAO,NM_MODALIDADE_PROGRAMA,NM_AREA_CONCENTRACAO,ID_PROJETO,NM_PROJETO,NM_NATUREZA_PROJETO,DH_INICIO,DT_SITUACAO_ATUAL,IN_BOLSA,IN_OUTRO_AUXILIO,IN_RESPONSAVEL_PROJETO,ID_PESSOA,DS_TIPO_MEMBRO,NM_PAIS_NACIONALIDADE_MEMBRO
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,12460,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,1307677,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,515531,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,264464,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,974576,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,538111,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,243038,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,1411408,PÓS-DOC,ITÁLIA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,442024,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,521323,DOCENTE,BRASIL
