"gid","geom","metadado_id","id","inicio","fim","is_valid","status","pid","maquina","lim_ndvi","lim_nbr","experiment","ncicatrizes","usgs_catalog_id","usgs_catalog_previous_id","id-2","id_cena","scene_id","produto_id","satelite","ano","jld","orbita_ponto","data_pas","cloud_cover","id-3","id_cena-2","scene_id-2","produto_id-2","satelite-2","ano-2","jld-2","orbita_ponto-2","data_pas-2","cloud_cover-2","id-4","area_ha","ndvi_pre","ndvi_pos","ndvi_mdif","nbr_pre","nbr_pos","nbr_mdif","bai_pre","bai_pos","bai_mdif","gemi_pre","gemi_pos","gemi_mdif","band2_pre","band2_pos","band3_pre","band3_pos","band4_pre","band4_pos","band5_pre","band5_pos","band5_mdif","band6_pre","band6_pos","band6_mdif","band7_pre","band7_pos","band7_mdif","aq30m_id","tem_foco","nfocos","gid-2","classe","proba","tem_foco-2"
8304184,"0103000020E6100000010000000E0000004E19F2CD765847C05D17EBC39C931EC0F230E7D6765847C0A1B858DFE3931EC01CDEA2BF7F5847C0B9D8D897E3931EC0D3755EA8885847C067085650E3931EC0755F54B1885847C0A949C26B2A941EC0786998C87F5847C034C245B32A941EC0480A8ED17F5847C0119CB2CE71941EC0692115006E5847C0230CB25D72941EC0273D20F76D5847C0EAE143422B941EC0D206640E655847C01D89BE892B941EC047966F05655847C02FA74F6EE4931EC0C8A8B31C5C5847C0DAB5C6B5E4931EC0F2ABBF135C5847C0311C579A9D931EC04E19F2CD765847C05D17EBC39C931EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157994,"0.8100",4917,3897,21,2015,662,66,32,28,11,-241,-85,-65,343,468,647,767,821,1104,2356,2490,-4,2760,3409,-23,1565,2166,-36,8304184,False,NULL,"8304184","nao_queimada","1",NULL
8304155,"0103000020E6100000010000003F000000211FF43B800847C0CB21B376DE6A1EC005363147800847C0BB903DB76C6B1EC092945130890847C00904618A6C6B1EC0142992029B0847C0DD229F306C6B1EC04AA9D10D9B0847C08CD82671FA6B1EC0FC9AF2F6A30847C0BCAF4044FA6B1EC044CD92FCA30847C0B1098464416C1EC04D0FB4E5AC0847C05C899A37416C1EC000AD54EBAC0847C0F969DD57886C1EC05D3F76D4B50847C01292F02A886C1EC07E4817DAB50847C04CF9324BCF6C1EC0322B39C3BE0847C0CCC9421ECF6C1EC059005BACC70847C0E3AC4FF1CE6C1EC0CAB29EB7C70847C0DDA4D2315D6D1EC0DC217CCEBE0847C05396C65E5D6D1EC084B11DD4BE0847C0D965087FA46D1EC056A040BDC70847C01C0A1452A46D1EC016A484C8C70847C029A79692326E1EC02741A8B1D00847C059899E65326E1EC0ED36EDBCD00847C02D1520A6C06E1EC03D8211A6D90847C028352479C06E1EC0106A57B1D90847C0B5AFA4B94E6F1EC0A3637C9AE20847C0650DA58C4E6F1EC0D4BE66ABE20847C07C1464ED23701EC07EAB40C2D90847C0DDF5641A24701EC01F889DBCD90847C0A5ED24FADC6F1EC025C577D3D00847C0F9762227DD6F1EC0420DD5CDD00847C043F5E106966F1EC0A59AAFE4C70847C09926DC33966F1EC03A4E0DDFC70847C06D2B9B134F6F1EC0FB2BE8F5BE0847C0D20492404F6F1EC030FCC20CB60847C095F0856D4F6F1EC025792107B60847C0B911444D086F1EC0B899FC1DAD0847C0A0A5347A086F1EC0BFACD734A40847C0EA4B22A7086F1EC013F3362FA40847C07689DF86C16E1EC0795612469B0847C0F5D7C9B3C16E1EC03F0872409B0847C0349C86937A6E1EC003BC4D57920847C0F9926DC07A6E1EC03AD9AD51920847C0EDDD29A0336E1EC0FAD3657F800847C09A2EEEF9336E1EC010BD4196770847C0A0F2CB26346E1EC08201A390770847C028F08606ED6D1EC0978FCB19420847C05A907913EE6D1EC0FF77A730390847C0C66B4240EE6D1EC03C5B0B2B390847C07C74FA1FA76D1EC00A94E741300847C090F8BF4CA76D1EC067A81431300847C0437AE6EBD16C1EC0EE55371A390847C0B83322BFD16C1EC0286F9B14390847C0D7FFD99E8A6C1EC04DB1BDFD410847C0C63513728A6C1EC0267A21F8410847C0985CCB51436C1EC0EA5043E14A0847C0100F0225436C1EC062C9A6DB4A0847C0A290BA04FC6B1EC0C434C8C4530847C0B0BFEED7FB6B1EC0DF5C2BBF530847C0089CA7B7B46B1EC05F4F6D91650847C01906085EB46B1EC03EC9CF8B650847C03CA7C13D6D6B1EC05A50F0746E0847C054E2ED106D6B1EC0E079526F6E0847C058DEA7F0256B1EC09B957258770847C03896D1C3256B1EC0C86ED452770847C019ED8BA3DE6A1EC0211FF43B800847C0CB21B376DE6A1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157964,"14.1300",5784,3655,37,3204,-185,106,26,28,-7,-334,-58,-80,315,527,620,797,681,1151,2544,2490,2,2324,3547,-51,1311,2567,-94,8304155,False,NULL,"8304155","nao_queimada","0",NULL
8304156,"0103000020E6100000010000000F000000217908255C0F47C0D81290F31E711EC06D7EF02A5C0F47C0CF47801366711EC017430E14650F47C0D59959E465711EC087B4F619650F47C030504904AD711EC0ECC814036E0F47C0FC441FD5AC711EC082A6FD086E0F47C0B77C0EF5F3711EC02D34DF1F650F47C05DF73824F4711EC008C2C725650F47C05A8F28443B721EC0DDF68953530F47C0F19975A23B721EC0E424A24D530F47C022238582F4711EC0F28783644A0F47C042D4A6B1F4711EC07CCAB4584A0F47C066DAC47166711EC08EABD241530F47C00108A44266711EC03104EB3B530F47C0A863B3221F711EC0217908255C0F47C0D81290F31E711EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157965,"0.9000",6142,4543,27,4055,1716,63,31,91,-214,-379,-270,-27,251,258,532,454,560,535,2350,1539,41,1928,1460,22,984,1028,-4,8304156,True,NULL,"8304156","queimada","100",NULL
8304157,"0103000020E6100000010000002F000000FA6A1541864647C08BEE24F2C26F1EC032C54249864647C010CBDE0E0A701EC001ACF7318F4647C036C597CD09701EC09B3E6103A14647C019F2004B09701EC00EC68F0BA14647C05AF0B86750701EC0B2CF44F4A94647C0C488682650701EC0ABF5D10CAA4647C0E7578E7C25711EC08D9B653B984647C0CBD72FFF25711EC0D5139443984647C09832E81B6D711EC0656BDD5A8F4647C0EE28355D6D711EC0FA50AF528F4647C0E0337C4026711EC0D58042817D4647C04C240CC326711EC043FB8B98744647C0A3B84F0427711EC01B0E5F90744647C078E594E7DF701EC0B883F2BE624647C01E12126AE0701EC026B51EC7624647C09419CE8627711EC09DF467DE594647C02CE608C827711EC0D4DB93E6594647C05578C5E46E711EC014642515484647C0EF7D33676F711EC09838FA0C484647C0A6B7754A28711EC01F3D43243F4647C080BCA78B28711EC0032E8C3B364647C01CD4D6CC28711EC0E7D16133364647C058CA17B0E1701EC08134F461244647C0E5FD6B32E2701EC0E2D41D6A244647C0943B2C4F29711EC0E18A66811B4647C06F8B529029711EC005E18F891B4647C0995313AD70711EC0AA7368CF004647C04981767071711EC04F7DB0E6F74547C0F1B591B171711EC04A7811C6F74547C0F69A843E55701EC031F7C7AE004647C08BCD6BFD54701EC0A52E789E004647C00C17E6C3C66F1EC03ADE2D87094647C02990CB82C66F1EC08B16568F094647C049D98D9F0D701EC05C100C78124647C069CB6F5E0D701EC090775D88124647C099FBF2979B701EC0672281422D4647C08FA783D49A701EC06B4B573A2D4647C0F2E4C3B753701EC096540D23364647C08288997653701EC0CF25B912364647C0EF081B3DC56F1EC08582429E624647C0D35921F7C36F1EC0D15B9AAE624647C0DCD4993052701EC0C46E0580744647C0D0101FAE51701EC097BCD877744647C0570F64910A701EC0B9CA8D607D4647C0C4E322500A701EC05ACE60587D4647C0096D6833C36F1EC0FA6A1541864647C08BEE24F2C26F1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157966,"7.1100",5157,3587,31,2622,475,83,25,33,-18,-256,-75,-71,413,597,707,887,817,1113,2581,2345,7,2596,2782,-7,1508,2124,-39,8304157,True,NULL,"8304157","queimada","81",NULL
8304158,"0103000020E6100000010000001900000055C255CF74ED46C01EAC47DB2E711EC08F3CD8D374ED46C0AEBFADFC75711EC01DEF24BD7DED46C0070BADD875711EC0D19671A686ED46C05568A9B475711EC0D2D7F4AA86ED46C0AAC20ED6BC711EC0A4D241948FED46C0CBDC07B2BC711EC099C28E7D98ED46C0E208FE8DBC711EC067CA128298ED46C0DBA962AF03721EC0780D606BA1ED46C0AE92558B03721EC01B7EE46FA1ED46C065CFB9AC4A721EC049143259AAED46C0EB74A9884A721EC0989F7F42B3ED46C0562C96644A721EC091660F50B3ED46C0AA88C0C81F731EC0B4FDE7EE74ED46C0B1F810C520731EC0DBC36AF374ED46C0C7A276E667731EC09F741B0A6CED46C0C7BC760A68731EC0A1E79D0E6CED46C0D8ACDC2BAF731EC0A46CFE3B5AED46C02EC0D473AF731EC0E49EAE5251ED46C07964CC97AF731EC0A6F7AB4951ED46C04177FE5421731EC06C09FB325AED46C0E97C073121731EC0D5E3F1175AED46C076499E6876711EC0EAB63E0163ED46C0E85EA64476711EC09DF8BCFC62ED46C042A13F232F711EC055C255CF74ED46C01EAC47DB2E711EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157967,"5.3100",3975,3129,22,1520,-236,115,24,31,-29,-68,-4,-96,512,584,805,868,1139,1242,2639,2372,9,3339,3556,-6,1957,2485,-26,8304158,False,NULL,"8304158","nao_queimada","32",NULL
8304159,"0103000020E6100000010000000A0000008C4191B2C65647C05BF2343AD56F1EC059F369BBC65647C032D4C9551C701EC08D3DFAA3CF5647C04A1F2B0F1C701EC07D9CAA5DEA5647C0CB723D3B1B701EC0E3DA8466EA5647C084A9CF5662701EC06DBA42C4C65647C086A65E7163701EC04C8FCDDEC65647C04DC01CC438711EC07AB83BF6BD5647C09723BB0A39711EC0E53F01CABD5647C07C13D080D56F1EC08C4191B2C65647C05BF2343AD56F1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157968,"0.8100",5388,3855,21,3278,1342,58,21,21,6,-255,-22,-89,314,486,776,854,849,1216,2788,2767,-2,2657,3515,-23,1427,2117,-34,8304159,False,NULL,"8304159","nao_queimada","1",NULL
8304173,"0103000020E6100000010000001700000098D459E5634647C0CA1C5D74E07A1EC08CC988ED634647C022F81691277B1EC0D2AB4CD66C4647C02891C34F277B1EC029BC0AF76C4647C051FBA7C2437C1EC0C102D0DF754647C06D3D4F81437C1EC092601F9A904647C0D76D33BD427C1EC0D18D50A2904647C0E0F8E9D9897C1EC036248BB9874647C0FC1B4C1B8A7C1EC02007BCC1874647C0D0310338D17C1EC014FADD355B4647C0F5ECC47ED27C1EC035EDAE2D5B4647C042D40A628B7C1EC0A40DE944524647C03E615BA38B7C1EC06D72BA3C524647C0FF9EA086447C1EC037DDF453494647C091A3EDC7447C1EC0A6B3C64B494647C0C93732ABFD7B1EC04C0A3C7A374647C0E641C22DFE7B1EC02B9876912E4647C07EE1056FFE7B1EC03E9C49892E4647C03C984852B77B1EC07A7484A0254647C092AF8893B77B1EC083732B90254647C0BFBA0C5A297B1EC04BDFEF782E4647C050D7CD18297B1EC0441EC3702E4647C0B15F10FCE17A1EC098D459E5634647C0CA1C5D74E07A1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157969,"4.0500",5455,3531,35,2660,196,119,27,43,-33,-279,-128,-55,381,560,661,777,770,986,2482,2119,12,2445,2580,0,1440,1979,-31,8304173,False,NULL,"8304173","queimada","96",NULL
8304174,"0103000020E610000001000000210000008E15AE0FFD4347C07D655F9D1C7A1EC0F57AC317FD4347C0F8B942BA637A1EC058878B00064447C01E52BB79637A1EC0508053E90E4447C016FC3039637A1EC01BB569F10E4447C085101356AA7A1EC0275EA108064447C0D9FE9D96AA7A1EC06148B710064447C0279C80B3F17A1EC00DB55C56EB4347C0BF9A1175F27A1EC0B898715EEB4347C05AF1F591397B1EC02038A875E24347C0515776D2397B1EC09A3DE68DE24347C01EC724290F7C1EC09AAF1BA5D94347C05207A4690F7C1EC0E72430ADD94347C088508986567C1EC0E810FB95E24347C024780946567C1EC09FF70F9EE24347C0C019EE629D7C1EC0315079CCD04347C07F0CECE39D7C1EC07F2565C4D04347C08F3A06C7567C1EC0B1129ADBC74347C039368007577C1EC0675986D3C74347C0BEBC99EA0F7C1EC09EB5F001B64347C0CEB8836B107C1EC0A4C62519AD4347C05751F4AB107C1EC0265DEE00AD4347C0A02F3B553B7B1EC02232B8E9B54347C0365FCC143B7B1EC06A82A5E1B54347C0C977E4F7F37A1EC003E66ECABE4347C02F5173B7F37A1EC0B2EB5BC2BE4347C060F28B9AAC7A1EC0E9DD24ABC74347C0A375185AAC7A1EC07D67FE9AC74347C0E5B94A201E7A1EC0D9955655E24347C0593FE25E1D7A1EC050E16A5DE24347C0825CC77B647A1EC0F0273346EB4347C02BBF483B647A1EC07F7E1E3EEB4347C0333A641E1D7A1EC08E15AE0FFD4347C07D655F9D1C7A1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157970,"4.4100",4628,3266,28,1341,-895,183,45,107,-144,-248,-190,-27,436,469,639,610,749,773,2060,1542,26,2516,2288,12,1614,1839,-11,8304174,True,NULL,"8304174","queimada","100",NULL
8304175,"0103000020E6100000010000001E000000C60C93AF1C4647C0054C07B8707B1EC0BF3344D01C4647C0B821012B8D7C1EC026890AB9254647C0DD2AC2E98C7C1EC0F86137C1254647C0B7DF7F06D47C1EC0C001FEA92E4647C08D603DC5D37C1EC0E68DC492374647C000F3F783D37C1EC05F36F29A374647C06E64B4A01A7D1EC0E50CB983404647C07E6E6B5F1A7D1EC09A1A0D3E5B4647C030F67E9B197D1EC0C74E3C465B4647C0F5EF38B8607D1EC02D55755D524647C03A4B8BF9607D1EC0FB3EA465524647C0A0CF4516A87D1EC0B6D3DC7C494647C088D69557A87D1EC025730B85494647C089E55074EF7D1EC03496439C404647C003989EB5EF7D1EC041EB71A4404647C099315AD2367E1EC01FEDBE2F0B4647C0C66BF259387E1EC03ACC92270B4647C08536333DF17D1EC0DF65CA3E024647C08A636C7EF17D1EC0911E1C1E024647C0878C6C0BD57C1EC0AA1C5535F94547C0BF63A04CD57C1EC026078E4CF04547C0994CD18DD57C1EC062626344F04547C095FC0F718E7C1EC0E4192A2DF94547C088ADDF2F8E7C1EC0BB2AFF24F94547C0D6E71E13477C1EC09D70C50D024647C03D44ECD1467C1EC010379A05024647C0EC082CB5FF7B1EC0550B60EE0A4647C0DA10F773FF7B1EC0161709DE0A4647C0859F773A717B1EC0C60C93AF1C4647C0054C07B8707B1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157971,"5.0400",4923,3542,25,2042,305,87,25,39,-39,-225,-114,-42,446,584,728,811,863,1035,2586,2205,13,2706,2679,1,1653,2104,-26,8304175,False,NULL,"8304175","queimada","98",NULL
8304194,"0103000020E6100000010000001D0000000BDD08EBC5B646C03C6B0D14AE9F1EC0A793D8F1C5B646C07F63B97C83A01EC044661C08BDB646C0911ED78E83A01EC0694F610ABDB646C07E28BBB1CAA01EC004BEA420B4B646C03D1BD6C3CAA01EC0014EE922B4B646C0A840BAE611A11EC099582C39ABB646C0046BD2F811A11EC06C8F703BABB646C0E8ABB61B59A11EC00136B351A2B646C0D60DCC2D59A11EC0A813F753A2B646C02E6AB050A0A11EC03B56396A99B646C09F03C362A0A11EC0B4DA7C6C99B646C0607BA785E7A11EC02B6642AF7EB646C00F15CEBBE7A11EC07BFDFFAC7EB646C0191EE998A0A11EC06C2A42C375B646C0A6EBEFAAA0A11EC0BB2500C175B646C049BB0A8859A11EC0339ABDAA7EB646C01B18047659A11EC0533C7BA87EB646C015031F5312A11EC0DE57F57B90B646C09C38092F12A11EC03842B27990B646C05169240CCBA01EC04AE96E6399B646C0244215FACAA01EC0787A2B6199B646C03E8E30D783A01EC08CBDE74AA2B646C0A09E1EC583A01EC090F5A348A2B646C025063AA23CA01EC0A4D45F32ABB646C0284E25903CA01EC080B31B30ABB646C01BD1406DF59F1EC0962ED719B4B646C0C950295BF59F1EC04AB49217B4B646C038EF4438AE9F1EC00BDD08EBC5B646C03C6B0D14AE9F1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157972,"2.7000",4882,3587,25,3019,358,92,27,93,-233,-230,-207,-10,362,374,700,585,854,753,2537,1615,37,2470,2163,13,1339,1565,-13,8304194,False,NULL,"8304194","queimada","100",NULL
8304160,"0103000020E6100000010000008C000000FFC950B0B91147C050C92956A06C1EC094DB50B6B91147C0761BFD75E76C1EC0C7F3649FC21147C091581646E76C1EC0D7F88C71D41147C0CB0A40E6E66C1EC080328E77D41147C0ECF911062E6D1EC03D7DA260DD1147C0B1FD21D62D6D1EC086B9B649E61147C01F142FA62D6D1EC064BDB84FE61147C05C1100C6746D1EC01A49CD38EF1147C006C90996746D1EC05BC6E121F81147C051931066746D1EC07394E427F81147C0949EE085BB6D1EC01F61F910011247C0090AE455BB6D1EC012CF22E3121247C0B818E2F5BA6D1EC049C526E9121247C061C0B015026E1EC071C43BD21B1247C014F2AAE5016E1EC01EB550BB241247C05436A2B5016E1EC0977555C1241247C0BCEB6FD5486E1EC0ADB56AAA2D1247C0FFD063A5486E1EC0660A957C3F1247C012D34245486E1EC009F39A823F1247C07C240F658F6E1EC08E65B06B481247C0AACFF9348F6E1EC0191EBD77481247C09A6191741D6F1EC0ED3DD360511247C0EE3B78441D6F1EC0827CCC5A511247C03EECAC24D66E1EC0496B0D166C1247C0323F5194D56E1EC06846151C6C1247C0A7391BB41C6F1EC0392C2B05751247C0CF5DF6831C6F1EC0870341EE7D1247C06C94CE531C6F1EC0641F5B007E1247C0CE7D29B3F16F1EC0E70172E9861247C05271FD82F16F1EC0AACF5FDD861247C04B736C43636F1EC0D7E775C68F1247C0F15C3E13636F1EC09C577FCC8F1247C0AF710633AA6F1EC02CBF95B5981247C0DEFBD402AA6F1EC0B862C287AA1247C06F4769A2A96F1EC0BEFACC8DAA1247C033F72FC2F06F1EC0A294E376B31247C09D46F591F06F1EC0CC9C1049C51247C08F1C7731F06F1EC0195D1C4FC51247C019673C5137701EC049293338CE1247C0957BF82037701EC0EDE64921D71247C068A2B1F036701EC09A715627D71247C09CF975107E701EC09C7E6D10E01247C0ADC02BE07D701EC0107D84F9E81247C0119ADEAF7D701EC023D291FFE81247C0C8FDA1CFC4701EC0F51FA9E8F11247C05377519FC4701EC0EA8FD7BA031347C052A1A73EC4701EC0500DE6C0031347C03E9F695E0B711EC05F8DFDA90C1347C070DD0F2E0B711EC0C4612C7C1E1347C0A69053CD0A711EC084073C821E1347C0892814ED51711EC0C7B9536B271347C0372BB1BC51711EC0765D6B54301347C025404B8C51711EC0A6CD7B5A301347C021E40AAC98711EC0ADC09343391347C0EB98A17B98711EC01FA5AB2C421347C0ED5F354B98711EC0C2DFBC32421347C0E60FF46ADF711EC08C13D51B4B1347C0B176843ADF711EC0554F05EE5C1347C0D87A9CD9DE711EC060B217F45C1347C037C459F925721EC04E1830DD651347C011EFE0C825721EC0A16F48C66E1347C0132C659825721EC0299D5BCC6E1347C02D8121B86C721EC0D14374B5771347C0C75DA2876C721EC04B65A587891347C06A4D9B266C721EC044BBB98D891347C07B3B5646B3721EC00694D276921347C0DBDBCD15B3721EC0B727FC82921347C013A5425541731EC00F93E299891347C009EACB8541731EC0E214F79F891347C07CAA86A588731EC0A813DDB6801347C022740DD688731EC02446F1BC801347C00698C8F5CF731EC0EC5BBCEA6E1347C09A46CE56D0731EC05BE5A8E46E1347C0833D123789731EC04AB88EFB651347C0443D906789731EC09F7C74125D1347C00D4F0B9889731EC091D0610C5D1347C0B3514E7842731EC056E92D3A4B1347C064C63AD942731EC0D4DF1351421347C0D19BAC0943731EC03B5C024B421347C0D737EEE9FB721EC015A2E861391347C0ECAC5C1AFC721EC0078BD75B391347C051C79DFAB4721EC0EA1E8BA01E1347C0F93BD68BB5721EC0628871B7151347C0198738BCB5721EC0B2F761B1151347C0E5C8779C6E721EC089B048C80C1347C0D6B3D6CC6E721EC0CE5A2FDF031347C0EAB032FD6E721EC0939420D9031347C0FDFE70DD27721EC04E79EE06F21247C0224B1F3E28721EC0D355D51DE91247C0700C726E28721EC0FAB7C717E91247C0B9F4AE4EE1711EC0E1E3AE2EE01247C00A56FE7EE1711EC085B2A128E01247C0F5BC3A5F9A711EC08B9A7056CE1247C003D2CFBF9A711EC0BCF8576DC51247C0DAF715F09A711EC0B9EF4B67C51247C04BF950D053711EC0573C1B95B31247C09497D33054711EC0D9CC02ACAA1247C01782106154711EC029ECF7A5AA1247C04A1E4A410D711EC0709DC7D3981247C02446BAA10D711EC04860AFEA8F1247C078F5EDD10D711EC0E7A7A5E48F1247C0B52C26B2C6701EC028BA8DFB861247C06E7C56E2C6701EC0386E84F5861247C098328EC27F701EC0E0CF6C0C7E1247C0C622BBF27F701EC002235523751247C04525E52280701EC06EA14C1D751247C08CE81B0339701EC004D81D4B631247C0F240666339701EC08C5D06625A1247C0A708879339701EC03904FF5B5A1247C07567BC73F26F1EC09E9FD089481247C08C4AF4D3F26F1EC09357B9A03F1247C0A3D70B04F36F1EC07C26B39A3F1247C030D23FE4AB6F1EC0DD2D9CB1361247C006005414AC6F1EC0C02685C82D1247C045406544AC6F1EC0F8BF7FC22D1247C062489824656F1EC01E4252F01B1247C0F31CB184656F1EC0796D3B07131247C0DC22B9B4656F1EC0E42E3701131247C025C7EA941E6F1EC0FF150A2F011247C04927F1F41E6F1EC0D973F345F81147C00AF3EF241F6F1EC0715DF03FF81147C0B9332005D86E1EC0BC0ADA56EF1147C085A01B35D86E1EC091A9C36DE61147C0C61F1465D86E1EC06B5DC167E61147C0756E4345916E1EC0B24BAB7EDD1147C0D68E3875916E1EC0842B9595D41147C0BDC12AA5916E1EC09DA9938FD41147C08D1E59854A6E1EC0E2D87DA6CB1147C0A0F247B54A6E1EC0B4F967BDC21147C03ED933E54A6E1EC0084267B7C21147C04A4461C5036E1EC04EB251CEB91147C02DCC49F5036E1EC023143CE5B01147C0A4662F25046E1EC0B0263CDFB01147C001E05B05BD6D1EC0F8D726F6A71147C0D01B3E35BD6D1EC0D37A110D9F1147C0386A1D65BD6D1EC0945712079F1147C007F24845766D1EC0E349FD1D961147C0DBE12475766D1EC05B50010C961147C0C5CAA515A16C1EC0FFC950B0B91147C050C92956A06C1EC0",2799,2799,"2021-03-09 10:56:19.048756-03","2021-03-09 10:57:57.20542-03",True,"processado",1905,"barcelona","0.2","0.5",False,1552,"LS82210652020246","LS82210652020230",85492526,"LS82210652020246","LC82210652020246LGN00","LC08_L1TP_221065_20200902_20200906_01_T1",8,2020,246,"221_065","2020-09-02",0,63422940,"LS82210652020230","LC82210652020230LGN00","LC08_L1TP_221065_20200817_20200822_01_T1",8,2020,230,"221_065","2020-08-17",10,8157973,"24.0300",3633,2389,35,315,-1336,625,36,29,20,-106,128,-208,497,657,791,1054,1055,1473,2265,2408,-6,3298,4090,-23,2119,3162,-48,8304160,True,NULL,"8304160","nao_queimada","1",NULL
